transaction_id,price,customer_id,payment_method,timestamp,flag,total_quantity
130072,963.04,3005,PayPal,2024-04-15 17:38:48,app,10
130073,961.71,9732,Credit Card,2024-08-05 00:19:29,app,7
130074,200.43,7582,Bank Transfer,2024-09-07 00:07:40,app,6
130075,85.4,5888,Credit Card,2024-04-16 00:52:34,app,4
130076,291.22,7369,Credit Card,2024-06-07 03:51:25,app,9
130077,684.12,7522,Credit Card,2023-12-22 18:31:34,app,10
130078,109.7,3954,Bank Transfer,2024-03-03 20:16:12,app,10
130079,113.9,8902,Credit Card,2023-12-30 06:40:59,app,3
130080,599.0,7799,Bank Transfer,2024-03-14 23:13:29,app,5
130081,780.87,3368,Bank Transfer,2024-06-27 12:09:59,app,3
130082,809.38,9760,PayPal,2024-02-15 01:06:54,app,3
130083,809.85,4263,Credit Card,2024-06-05 17:06:11,app,6
130084,29.0,9603,PayPal,2023-12-19 22:18:54,app,2
130085,842.08,7884,PayPal,2024-01-04 04:37:21,app,8
130086,239.28,8371,Credit Card,2024-01-25 01:42:54,app,4
130087,985.72,9102,Credit Card,2024-03-01 03:56:31,app,2
130088,795.43,7167,PayPal,2024-02-08 16:16:32,app,3
130089,209.7,9746,Credit Card,2024-04-28 14:35:59,app,2
130090,793.62,7006,Bank Transfer,2024-03-13 00:02:41,app,9
130091,577.13,2794,Bank Transfer,2024-01-07 20:48:05,app,4
130092,937.19,8342,PayPal,2023-10-27 22:40:09,app,5
130093,604.49,960,Bank Transfer,2024-09-12 18:28:58,app,6
130094,50.41,9539,Credit Card,2024-02-07 21:49:41,app,10
130095,203.12,6373,Credit Card,2024-07-30 16:02:50,app,1
130096,986.09,3385,PayPal,2024-02-15 11:29:52,app,10
130097,893.1,387,Bank Transfer,2024-01-31 08:02:32,app,3
130098,694.74,6506,Bank Transfer,2023-11-09 02:42:34,app,8
130099,97.93,3310,Bank Transfer,2023-11-27 16:32:43,app,7
130100,880.84,9614,Bank Transfer,2024-02-07 01:47:17,app,2
130101,482.68,7276,Credit Card,2023-10-08 18:19:12,app,9
130102,133.39,7733,Bank Transfer,2024-03-13 16:31:11,app,10
130103,606.79,6725,Bank Transfer,2023-12-29 01:30:37,app,5
130104,56.82,1555,Credit Card,2023-11-10 23:27:30,app,6
130105,380.31,7958,PayPal,2024-02-12 06:47:24,app,6
130106,129.98,1230,Credit Card,2023-12-08 16:40:35,app,4
130107,979.76,4123,PayPal,2024-07-19 17:52:54,app,1
130108,253.94,2559,Bank Transfer,2024-02-13 02:56:47,app,7
130109,998.46,2774,Credit Card,2023-11-09 09:52:55,app,5
130110,589.56,6454,PayPal,2024-07-10 21:03:17,app,7
130111,457.25,1362,PayPal,2024-05-17 00:49:23,app,6
130112,692.52,3857,PayPal,2023-10-13 06:47:20,app,9
130113,841.77,2430,Bank Transfer,2024-06-05 23:43:27,app,9
130114,191.92,7063,Credit Card,2024-04-20 20:00:24,app,3
130115,917.08,6579,Credit Card,2024-01-19 15:20:53,app,8
130116,99.12,9097,Credit Card,2024-05-03 17:25:03,app,7
130117,734.83,4613,Bank Transfer,2024-05-21 20:38:26,app,10
130118,826.63,8348,PayPal,2024-05-07 07:01:31,app,7
130119,688.06,9547,PayPal,2024-02-06 03:12:43,app,9
130120,110.51,653,Credit Card,2024-03-11 07:09:20,app,1
130121,361.55,4264,Credit Card,2024-09-24 16:08:29,app,3
130122,919.56,6054,PayPal,2024-05-30 23:22:08,app,9
130123,99.04,3434,PayPal,2024-08-04 20:44:20,app,8
130124,447.96,1423,Credit Card,2024-09-19 09:58:30,app,2
130125,125.56,3057,PayPal,2024-09-24 05:15:53,app,7
130126,540.88,8198,PayPal,2024-09-10 01:17:53,app,1
130127,689.9,8150,PayPal,2023-10-12 03:00:26,app,5
130128,160.43,8332,Bank Transfer,2023-12-16 06:01:00,app,8
130129,782.21,7557,PayPal,2024-08-25 16:28:35,app,5
130130,349.19,5577,Credit Card,2024-06-09 20:17:09,app,2
130131,920.85,2865,Bank Transfer,2023-10-08 07:43:44,app,4
130132,70.2,1971,PayPal,2024-09-25 03:14:21,app,2
130133,330.04,4308,Credit Card,2023-10-06 05:35:28,app,10
130134,656.65,4767,PayPal,2024-05-25 04:32:35,app,4
130135,457.88,7837,Credit Card,2024-04-22 15:52:04,app,9
130136,128.13,7849,PayPal,2024-02-11 11:05:01,app,4
130137,714.31,1896,PayPal,2024-05-28 01:33:30,app,4
130138,518.03,9561,PayPal,2023-10-14 18:56:01,app,5
130139,209.43,6072,Credit Card,2024-08-01 11:16:11,app,10
130140,341.03,800,Credit Card,2023-12-12 17:47:24,app,3
130141,447.03,1248,PayPal,2024-01-08 10:45:52,app,8
130142,368.44,1814,Credit Card,2024-06-02 01:57:16,app,3
130143,54.18,7307,PayPal,2024-01-20 20:50:16,app,3
130144,209.08,4886,PayPal,2024-06-19 21:44:51,app,1
130145,985.12,1870,Credit Card,2024-08-24 00:17:40,app,8
130146,271.46,7,Credit Card,2024-01-14 20:31:37,app,2
130147,682.23,5531,Bank Transfer,2024-09-27 00:46:27,app,5
130148,914.02,2700,Credit Card,2023-11-09 11:16:34,app,2
130149,265.88,8584,Bank Transfer,2024-02-15 21:15:32,app,3
130150,735.3,731,PayPal,2024-08-12 19:19:22,app,10
130151,681.31,5239,Bank Transfer,2024-07-02 19:33:26,app,6
130152,69.39,5254,PayPal,2024-02-03 15:19:57,app,6
130153,601.33,6126,PayPal,2024-08-16 07:33:57,app,2
130154,258.0,4587,Bank Transfer,2024-05-14 04:50:52,app,2
130155,231.59,4918,PayPal,2023-10-19 08:29:56,app,8
130156,703.89,6122,PayPal,2024-08-09 00:19:50,app,1
130157,429.0,4305,Credit Card,2024-05-22 04:43:06,app,6
130158,938.93,211,Bank Transfer,2024-02-16 03:56:39,app,10
130159,938.25,9749,PayPal,2024-09-03 12:33:26,app,10
130160,833.34,5731,PayPal,2024-02-26 17:13:28,app,9
130161,332.59,5689,Bank Transfer,2023-10-05 14:44:04,app,7
130162,842.57,4029,PayPal,2024-02-23 16:08:30,app,7
130163,275.45,4789,Bank Transfer,2024-02-26 02:32:47,app,2
130164,162.97,2069,Credit Card,2023-10-29 00:14:50,app,8
130165,651.64,8764,PayPal,2024-03-31 01:16:31,app,5
130166,572.39,8247,PayPal,2024-07-22 20:40:21,app,3
130167,491.53,9649,PayPal,2023-11-09 12:23:01,app,7
130168,228.63,2820,Credit Card,2024-08-28 20:16:51,app,1
130169,666.91,9198,PayPal,2024-04-12 10:46:52,app,10
130170,56.61,7698,Credit Card,2024-02-27 07:08:20,app,8
130171,318.47,5870,Bank Transfer,2023-12-06 19:23:55,app,6
130172,90.32,2675,PayPal,2024-08-11 10:04:23,app,10
130173,358.59,695,Bank Transfer,2024-09-25 23:46:09,app,2
130174,88.48,9059,Credit Card,2024-03-27 14:41:49,app,3
130175,506.06,5599,Credit Card,2024-08-28 15:29:37,app,1
130176,623.75,8127,Credit Card,2023-11-09 18:29:45,app,10
130177,500.37,1791,Credit Card,2024-01-16 11:02:23,app,1
130178,65.04,3197,Credit Card,2024-04-17 10:20:50,app,7
130179,349.01,306,PayPal,2024-04-14 15:54:00,app,3
130180,510.71,9184,Bank Transfer,2024-01-23 18:37:34,app,6
130181,767.76,5075,Credit Card,2024-04-25 01:01:12,app,3
130182,906.45,1402,Bank Transfer,2024-02-07 14:24:20,app,5
130183,620.73,2230,PayPal,2023-10-17 16:08:10,app,2
130184,277.71,1622,PayPal,2024-05-05 16:32:08,app,6
130185,864.41,66,Bank Transfer,2023-11-03 22:51:38,app,2
130186,767.33,2222,Credit Card,2024-02-06 21:27:30,app,10
130187,571.32,6012,PayPal,2024-04-16 15:12:41,app,9
130188,424.81,2287,Credit Card,2024-02-23 15:56:30,app,5
130189,502.09,7758,PayPal,2023-11-13 00:12:52,app,2
130190,355.36,8695,Bank Transfer,2023-10-31 01:11:09,app,6
130191,582.94,1576,PayPal,2024-03-14 21:29:22,app,6
130192,881.65,9987,Bank Transfer,2023-12-21 14:12:42,app,8
130193,352.13,689,PayPal,2024-02-05 07:57:21,app,2
130194,877.56,4141,PayPal,2024-01-16 22:41:59,app,6
130195,598.94,5360,Credit Card,2023-10-15 16:46:34,app,3
130196,679.49,3513,Credit Card,2024-07-26 14:57:19,app,3
130197,954.81,4908,PayPal,2024-07-18 17:54:05,app,7
130198,689.52,7546,PayPal,2024-02-26 06:19:09,app,8
130199,31.51,265,Credit Card,2023-12-01 03:41:04,app,3
130200,637.02,4485,PayPal,2024-07-27 02:46:38,app,3
130201,142.54,2751,Bank Transfer,2023-11-05 19:31:39,app,6
130202,115.75,979,Credit Card,2024-01-26 20:04:27,app,4
130203,438.9,7992,PayPal,2024-07-15 16:20:14,app,3
130204,289.1,9008,Bank Transfer,2024-03-08 09:58:45,app,4
130205,645.86,6374,Bank Transfer,2024-07-29 05:26:12,app,6
130206,594.23,5811,Bank Transfer,2024-01-09 19:04:24,app,1
130207,141.58,170,Credit Card,2023-12-28 14:16:23,app,2
130208,441.64,8303,PayPal,2023-10-20 06:16:15,app,1
130209,416.79,1232,PayPal,2023-11-26 11:44:06,app,6
130210,130.66,7137,Bank Transfer,2024-05-28 17:18:00,app,5
130211,809.5,544,Bank Transfer,2024-07-15 14:44:10,app,7
130212,936.27,2178,Credit Card,2024-05-07 01:20:35,app,10
130213,70.09,6378,Bank Transfer,2024-04-19 02:15:45,app,4
130214,729.5,7292,PayPal,2024-02-19 16:00:58,app,3
130215,771.88,8013,Credit Card,2024-07-08 20:16:36,app,3
130216,34.83,7649,Credit Card,2023-10-22 15:13:37,app,5
130217,208.62,1954,Credit Card,2024-03-11 08:05:04,app,9
130218,637.93,8835,Credit Card,2024-03-14 13:01:57,app,9
130219,251.47,2287,Credit Card,2024-03-31 09:56:55,app,5
130220,615.68,137,Bank Transfer,2024-04-29 00:10:14,app,3
130221,63.54,5309,PayPal,2024-05-04 04:30:43,app,2
130222,747.88,140,PayPal,2024-01-03 11:44:26,app,10
130223,445.83,8632,PayPal,2024-08-29 14:31:16,app,6
130224,777.92,3755,PayPal,2024-08-12 13:51:06,app,2
130225,200.9,4491,PayPal,2023-10-12 04:22:44,app,6
130226,492.46,8802,PayPal,2024-02-27 12:14:13,app,2
130227,478.03,2710,Credit Card,2024-03-12 15:15:38,app,1
130228,881.85,4668,PayPal,2024-01-22 11:04:33,app,9
130229,942.75,5018,PayPal,2023-12-15 13:52:31,app,2
130230,827.76,2383,Bank Transfer,2024-02-26 23:24:30,app,5
130231,548.21,838,Credit Card,2023-10-20 02:23:16,app,6
130232,954.1,4543,PayPal,2024-01-27 22:35:20,app,9
130233,186.11,3548,PayPal,2024-09-20 14:26:13,app,10
130234,987.32,5718,PayPal,2024-09-11 12:55:43,app,9
130235,671.34,1669,Bank Transfer,2024-09-10 18:26:45,app,4
130236,762.97,5749,Credit Card,2023-10-04 06:26:13,app,1
130237,563.74,9078,Bank Transfer,2024-02-07 19:33:26,app,2
130238,319.99,5347,Credit Card,2024-02-02 05:34:21,app,2
130239,904.76,561,Credit Card,2023-12-09 23:27:39,app,2
130240,427.66,9233,Credit Card,2024-04-06 01:24:12,app,4
130241,358.45,762,Bank Transfer,2024-01-02 12:56:55,app,3
130242,846.87,557,Bank Transfer,2023-12-24 02:59:27,app,5
130243,661.03,2595,Credit Card,2024-03-26 17:42:42,app,5
130244,526.63,8548,Bank Transfer,2024-07-01 20:32:38,app,5
130245,933.57,4026,Credit Card,2024-01-28 14:37:21,app,9
130246,149.37,3218,PayPal,2023-10-17 22:18:28,app,8
130247,605.08,7750,Bank Transfer,2023-12-15 14:21:14,app,2
130248,244.44,2821,Credit Card,2024-03-08 23:37:26,app,1
130249,544.88,6242,Bank Transfer,2023-12-21 07:58:37,app,3
130250,804.71,5084,Bank Transfer,2024-05-14 04:10:56,app,2
130251,327.84,3493,Credit Card,2024-09-09 05:42:04,app,4
130252,831.84,1284,Bank Transfer,2024-08-31 17:05:52,app,5
130253,505.13,3675,Credit Card,2024-03-30 13:48:54,app,1
130254,31.43,1923,Bank Transfer,2023-11-05 07:18:16,app,2
130255,127.09,9254,Credit Card,2024-04-19 17:55:59,app,8
130256,31.45,9664,PayPal,2023-11-23 07:50:02,app,10
130257,744.68,5429,PayPal,2024-03-18 00:06:00,app,4
130258,249.25,5627,Bank Transfer,2023-10-30 22:57:07,app,2
130259,475.98,6071,Bank Transfer,2023-12-25 23:13:50,app,10
130260,203.97,1830,Credit Card,2023-11-26 12:02:36,app,2
130261,701.52,4799,PayPal,2023-12-06 14:27:52,app,3
130262,969.05,9887,Bank Transfer,2023-12-21 10:41:23,app,2
130263,497.83,3677,Bank Transfer,2023-10-17 02:28:04,app,8
130264,230.0,4515,Bank Transfer,2024-03-07 05:27:46,app,2
130265,514.89,8038,PayPal,2023-12-11 10:22:14,app,5
130266,741.41,2306,Bank Transfer,2024-09-09 18:27:55,app,9
130267,932.64,7064,PayPal,2024-07-20 10:29:10,app,2
130268,668.94,2265,Credit Card,2024-05-02 22:35:47,app,10
130269,727.55,283,PayPal,2024-05-29 01:04:10,app,7
130270,445.55,4345,Bank Transfer,2024-07-18 15:11:04,app,2
130271,988.12,9711,Credit Card,2024-08-16 03:40:54,app,6
130272,637.82,831,Bank Transfer,2024-05-22 19:02:00,app,6
130273,227.84,8647,Credit Card,2024-02-22 10:39:30,app,9
130274,615.87,6271,Bank Transfer,2024-08-07 06:53:49,app,5
130275,595.02,8989,PayPal,2024-08-08 18:06:00,app,4
130276,543.9,5503,Credit Card,2023-11-18 11:50:14,app,10
130277,652.42,558,Bank Transfer,2024-09-08 17:45:05,app,1
130278,487.66,7829,Bank Transfer,2023-11-11 21:27:25,app,4
130279,892.98,1459,PayPal,2024-07-21 15:06:16,app,4
130280,881.35,2204,Credit Card,2024-04-09 02:09:29,app,9
130281,984.1,9136,Bank Transfer,2024-08-18 07:54:34,app,7
130282,968.18,4052,Credit Card,2024-02-08 09:08:33,app,6
130283,223.32,58,Bank Transfer,2024-05-08 03:37:38,app,3
130284,235.44,4834,Credit Card,2023-12-19 19:14:27,app,5
130285,952.13,214,PayPal,2024-06-18 15:43:45,app,2
130286,901.3,6134,PayPal,2024-09-08 21:07:24,app,5
130287,246.79,1198,Bank Transfer,2024-03-08 05:44:07,app,10
130288,968.45,4803,Bank Transfer,2024-05-28 00:13:40,app,9
130289,259.32,3865,Bank Transfer,2024-01-18 07:05:34,app,1
130290,387.72,9875,Bank Transfer,2024-06-25 00:28:44,app,2
130291,167.3,8088,Bank Transfer,2024-04-02 23:25:03,app,8
130292,834.98,1763,PayPal,2024-04-07 11:21:02,app,3
130293,239.73,5249,Credit Card,2023-10-16 15:07:21,app,5
130294,810.07,1140,PayPal,2024-08-22 14:31:58,app,4
130295,221.52,7786,PayPal,2024-07-29 21:01:40,app,10
130296,409.16,8888,Bank Transfer,2024-01-26 19:55:54,app,6
130297,315.14,9013,Bank Transfer,2024-07-30 16:04:25,app,2
130298,677.0,2678,Credit Card,2023-11-07 15:14:02,app,8
130299,319.16,9832,Credit Card,2023-10-21 03:03:45,app,5
130300,958.89,351,Bank Transfer,2024-03-01 09:40:25,app,4
130301,922.74,5322,Credit Card,2024-09-27 13:12:18,app,4
130302,675.68,7599,Credit Card,2024-07-11 13:30:56,app,3
130303,806.94,8988,Credit Card,2024-04-28 19:15:21,app,6
130304,631.92,9306,Credit Card,2024-01-22 14:30:04,app,10
130305,271.45,117,Bank Transfer,2024-06-20 19:37:27,app,4
130306,290.44,8393,Credit Card,2024-07-31 09:52:43,app,10
130307,270.7,7248,PayPal,2024-08-14 01:58:01,app,9
130308,158.6,3647,PayPal,2024-03-20 11:12:52,app,10
130309,463.09,3150,Credit Card,2024-02-05 01:30:02,app,7
130310,258.44,2109,Bank Transfer,2024-08-06 05:23:21,app,4
130311,563.17,644,Credit Card,2024-04-20 23:21:11,app,5
130312,651.41,3052,Bank Transfer,2024-08-09 19:56:16,app,9
130313,318.72,8133,Credit Card,2024-03-03 03:33:18,app,1
130314,461.31,2272,PayPal,2024-05-15 20:15:36,app,10
130315,802.15,4285,PayPal,2023-10-13 15:18:43,app,2
130316,891.65,521,Credit Card,2023-10-09 18:00:19,app,2
130317,598.78,1845,Credit Card,2024-07-09 09:22:23,app,8
130318,614.37,419,Credit Card,2024-06-05 22:22:51,app,10
130319,545.27,7761,Bank Transfer,2023-10-30 07:34:33,app,6
130320,706.44,565,PayPal,2024-06-11 12:17:59,app,7
130321,190.57,5663,Credit Card,2023-10-16 13:32:00,app,6
130322,571.46,226,Credit Card,2024-01-03 13:42:37,app,7
130323,335.49,5343,Bank Transfer,2024-08-22 12:01:46,app,10
130324,588.14,3245,Bank Transfer,2023-10-12 18:18:09,app,4
130325,939.21,5967,Credit Card,2024-09-27 19:20:14,app,1
130326,119.98,3872,Credit Card,2024-06-04 04:20:54,app,8
130327,861.09,5284,Bank Transfer,2024-06-01 15:04:18,app,4
130328,366.71,4341,Credit Card,2024-01-21 08:16:46,app,7
130329,155.86,3552,Credit Card,2023-12-16 15:29:57,app,6
130330,649.35,4658,PayPal,2024-01-11 11:00:22,app,3
130331,938.14,2466,Credit Card,2023-10-07 12:20:35,app,5
130332,97.75,8869,Bank Transfer,2023-11-05 09:44:58,app,2
130333,31.37,5934,PayPal,2024-09-09 16:12:56,app,10
130334,658.83,8820,Credit Card,2024-03-24 23:19:06,app,7
130335,812.6,3027,Credit Card,2024-07-18 05:57:49,app,9
130336,923.44,5913,Credit Card,2023-11-22 06:56:56,app,10
130337,179.46,6855,PayPal,2024-07-28 06:25:13,app,7
130338,409.5,5338,Credit Card,2024-02-16 09:17:20,app,4
130339,337.33,6984,PayPal,2024-05-31 05:26:04,app,8
130340,195.0,1708,Credit Card,2024-06-25 01:06:31,app,6
130341,387.03,5384,Bank Transfer,2024-05-26 17:18:53,app,7
130342,265.89,2231,PayPal,2024-07-29 19:42:01,app,10
130343,157.33,1282,Credit Card,2023-12-18 03:31:28,app,7
130344,746.33,4179,Bank Transfer,2024-08-08 14:44:48,app,9
130345,113.25,2890,PayPal,2023-12-02 02:40:09,app,2
130346,512.13,2538,Credit Card,2024-03-23 20:31:22,app,10
130347,21.42,7580,Credit Card,2024-02-29 14:35:10,app,8
130348,374.76,4885,Bank Transfer,2024-08-07 14:10:52,app,10
130349,955.42,3166,PayPal,2024-07-11 15:07:07,app,5
130350,335.14,6710,Bank Transfer,2024-08-19 14:05:01,app,1
130351,110.84,1097,Bank Transfer,2024-04-29 13:23:20,app,10
130352,361.23,385,PayPal,2024-04-25 11:33:19,app,6
130353,406.38,2808,PayPal,2023-12-26 15:05:22,app,8
130354,202.91,8980,Credit Card,2024-01-19 05:03:41,app,5
130355,447.99,6396,Bank Transfer,2024-03-04 19:39:46,app,1
130356,889.66,7245,Credit Card,2024-02-12 11:42:34,app,2
130357,520.88,1147,PayPal,2024-07-09 03:59:30,app,2
130358,644.78,3643,Bank Transfer,2024-08-12 04:37:55,app,10
130359,137.7,6083,PayPal,2024-02-19 02:55:25,app,8
130360,640.17,7367,Bank Transfer,2023-11-13 18:19:42,app,3
130361,241.77,3770,Bank Transfer,2024-06-17 16:18:24,app,3
130362,968.79,5046,PayPal,2023-12-04 18:15:42,app,8
130363,636.95,995,PayPal,2023-10-15 19:18:44,app,8
130364,154.73,5598,Bank Transfer,2023-10-15 03:53:21,app,10
130365,726.88,4780,PayPal,2024-07-26 02:58:04,app,2
130366,534.58,2311,Bank Transfer,2024-05-11 07:07:08,app,5
130367,109.53,1493,Credit Card,2023-10-28 03:03:18,app,10
130368,522.93,5058,PayPal,2023-10-10 06:43:15,app,1
130369,645.97,6934,Bank Transfer,2023-10-21 20:10:10,app,10
130370,226.58,6679,Bank Transfer,2023-11-29 21:04:55,app,7
130371,374.12,3365,Credit Card,2024-01-17 01:50:26,app,10
130372,330.24,9822,Credit Card,2024-06-20 15:43:26,app,4
130373,184.88,8874,PayPal,2024-06-26 03:49:11,app,10
130374,259.45,7830,PayPal,2024-06-02 23:41:52,app,9
130375,968.82,7221,Credit Card,2023-10-19 19:40:44,app,2
130376,178.29,6896,Bank Transfer,2024-04-12 22:15:17,app,4
130377,432.46,4569,PayPal,2024-08-21 13:32:35,app,7
130378,995.09,1986,Bank Transfer,2023-11-09 01:09:16,app,4
130379,274.32,7720,PayPal,2024-02-06 00:29:02,app,10
130380,347.56,1707,Credit Card,2024-03-22 12:53:30,app,4
130381,327.47,8413,Credit Card,2023-12-20 01:06:02,app,4
130382,970.99,74,PayPal,2024-06-12 03:30:33,app,10
130383,692.11,1908,Credit Card,2024-05-27 09:38:50,app,2
130384,836.89,6415,Bank Transfer,2024-02-17 13:05:05,app,4
130385,772.38,4750,Credit Card,2024-03-01 08:10:16,app,1
130386,399.07,860,Credit Card,2024-07-24 02:38:42,app,10
130387,129.4,3325,Credit Card,2024-04-30 01:22:52,app,10
130388,110.47,2012,PayPal,2023-11-04 14:47:34,app,5
130389,761.6,4073,PayPal,2024-09-13 04:45:42,app,4
130390,410.03,2321,PayPal,2024-06-16 13:13:52,app,10
130391,375.66,6172,Bank Transfer,2024-03-08 11:38:08,app,10
130392,24.79,7832,PayPal,2024-02-03 15:58:10,app,6
130393,454.33,1096,PayPal,2024-06-29 01:24:52,app,7
130394,636.65,8008,Credit Card,2024-05-28 10:26:56,app,1
130395,231.23,1732,Bank Transfer,2024-07-18 20:09:27,app,3
130396,861.88,9581,Credit Card,2024-04-24 21:53:06,app,7
130397,360.03,6129,PayPal,2023-11-03 21:35:16,app,10
130398,82.33,7371,PayPal,2024-02-11 20:52:02,app,9
130399,263.77,7690,PayPal,2024-03-11 18:41:25,app,6
130400,104.7,4385,Bank Transfer,2024-08-03 09:02:14,app,2
130401,500.29,3379,Bank Transfer,2023-12-19 04:35:35,app,5
130402,23.15,6236,Credit Card,2024-04-22 14:55:13,app,6
130403,378.74,8597,PayPal,2024-01-26 09:49:19,app,2
130404,874.9,7886,PayPal,2024-05-23 16:07:44,app,7
130405,64.22,4428,PayPal,2024-03-28 16:16:55,app,5
130406,66.71,2176,Credit Card,2024-06-11 13:35:57,app,8
130407,648.01,3365,PayPal,2024-05-01 05:12:05,app,3
130408,335.04,4722,Bank Transfer,2023-11-22 16:36:17,app,8
130409,335.24,3895,Bank Transfer,2024-05-17 03:00:42,app,4
130410,303.29,1609,Bank Transfer,2024-06-26 20:06:42,app,9
130411,56.67,6715,Bank Transfer,2024-05-16 21:53:56,app,3
130412,325.47,3679,PayPal,2024-05-22 15:55:31,app,10
130413,20.02,13,Credit Card,2023-11-26 17:54:11,app,10
130414,662.22,9486,Credit Card,2024-05-01 18:10:57,app,5
130415,685.51,1976,Credit Card,2024-05-03 09:10:19,app,6
130416,873.72,5030,Bank Transfer,2023-11-29 11:20:08,app,6
130417,714.77,5288,Bank Transfer,2024-01-18 06:47:11,app,5
130418,805.34,7046,Bank Transfer,2024-05-27 02:02:16,app,6
130419,687.72,5936,Credit Card,2023-11-15 18:33:43,app,5
130420,931.96,7611,PayPal,2024-07-20 21:31:32,app,6
